EventName,lon_min,lon_max,lat_min,lat_max,time_min,time_max,fire_date,sensor
BlackSaturday,145,145.9,-37.2,-37.7,2008-01,2009-12,2009-02-07,ls5
Tas2016_Central_Plateau,146.0852,146.3702,-41.5985,-41.7314,2013-01,2018-01,2016-02-08,ls8
Tas2016_Sumac_Forest,144.6893,145.1582,-41.0711,-41.3711,2013-01,2018-01,2016-02-08,ls8
